1,1,1689.0,385.0,146.62,332.71,67.567,-1,-1,-1
2,1,1688.69,384.645,146.62,332.71,66.725,-1,-1,-1
3,2,1742.0,513.0,94.66,214.81,64.803,-1,-1,-1
4,2,1668.08,371.65,159.84,362.7,53.87,-1,-1,-1
5,2,1684.08,370.65,159.84,362.7,52.074,-1,-1,-1
6,2,1676.69,384.645,146.62,332.71,52.587,-1,-1,-1
7,2,1668.08,370.65,159.84,362.7,49.716,-1,-1,-1
8,2,1667.08,370.65,159.84,362.7,50.69,-1,-1,-1
9,2,1668.69,385.645,146.62,332.71,59.031,-1,-1,-1
9,3,1326.0,489.0,67.474,153.11,41.687,-1,-1,-1
10,2,1676.69,385.645,146.62,332.71,64.395,-1,-1,-1
10,3,1326.263,499.445,67.474,153.11,44.719,-1,-1,-1
11,2,1681.69,385.645,146.62,332.71,58.138,-1,-1,-1
12,2,1685.69,394.645,146.62,332.71,51.907,-1,-1,-1
13,2,1687.69,391.645,146.62,332.71,54.748,-1,-1,-1
14,2,1677.08,374.65,159.84,362.7,53.078,-1,-1,-1
15,2,1674.08,373.65,159.84,362.7,56.775,-1,-1,-1
15,4,1825.0,535.0,33.737,76.557,40.166,-1,-1,-1
16,2,1672.08,372.65,159.84,362.7,58.304,-1,-1,-1
16,4,1833.6385,532.3335,36.723,83.333,49.653,-1,-1,-1
16,5,1336.0,500.0,67.474,153.11,44.973,-1,-1,-1
17,2,1673.69,386.645,146.62,332.71,65.522,-1,-1,-1
17,5,1336.263,500.445,67.474,153.11,46.265,-1,-1,-1
18,2,1669.69,394.645,146.62,332.71,66.036,-1,-1,-1
18,6,-52.0,254.0,270.83,614.58,44.021,-1,-1,-1
19,2,1666.69,400.645,146.62,332.71,64.738,-1,-1,-1
19,6,-52.41499999999999,253.70999999999998,270.83,614.58,56.379,-1,-1,-1
20,2,1652.08,381.65,159.84,362.7,63.715,-1,-1,-1
20,6,-52.41499999999999,253.70999999999998,270.83,614.58,52.829,-1,-1,-1
21,2,1647.08,378.65,159.84,362.7,63.111,-1,-1,-1
21,6,-52.41499999999999,253.70999999999998,270.83,614.58,55.834,-1,-1,-1
22,2,1643.08,384.65,159.84,362.7,69.866,-1,-1,-1
22,6,-52.41499999999999,253.70999999999998,270.83,614.58,52.643,-1,-1,-1
23,2,1635.16,362.675,175.68,398.65,71.576,-1,-1,-1
23,6,-52.41499999999999,253.70999999999998,270.83,614.58,55.724,-1,-1,-1
24,2,1632.08,386.65,159.84,362.7,74.939,-1,-1,-1
24,6,-52.41499999999999,253.70999999999998,270.83,614.58,48.298,-1,-1,-1
25,2,1624.08,390.65,159.84,362.7,77.047,-1,-1,-1
26,2,1619.08,393.65,159.84,362.7,69.991,-1,-1,-1
27,2,1609.16,369.675,175.68,398.65,70.678,-1,-1,-1
28,2,1609.16,364.675,175.68,398.65,82.014,-1,-1,-1
29,2,1615.08,377.65,159.84,362.7,72.384,-1,-1,-1
30,2,1608.16,356.675,175.68,398.65,65.412,-1,-1,-1
30,7,1339.0,480.0,79.918,181.35,46.891,-1,-1,-1
31,2,1609.16,354.675,175.68,398.65,64.181,-1,-1,-1
31,7,1349.068,490.195,73.864,167.61,50.363,-1,-1,-1
32,2,1617.08,379.65,159.84,362.7,68.372,-1,-1,-1
32,7,1349.068,490.195,73.864,167.61,56.174,-1,-1,-1
33,2,1611.16,358.675,175.68,398.65,73.534,-1,-1,-1
33,7,1341.041,481.325,79.918,181.35,52.712,-1,-1,-1
33,8,1752.0,290.0,207.45,470.74,41.951,-1,-1,-1
34,2,1612.16,356.675,175.68,398.65,73.734,-1,-1,-1
34,7,1346.068,489.195,73.864,167.61,63.212,-1,-1,-1
35,2,1613.16,354.675,175.68,398.65,79.855,-1,-1,-1
35,7,1347.068,489.195,73.864,167.61,61.084,-1,-1,-1
35,9,1670.0,381.0,175.68,398.65,43.711,-1,-1,-1
36,2,1614.16,353.675,175.68,398.65,70.057,-1,-1,-1
36,7,1348.068,489.195,73.864,167.61,63.441,-1,-1,-1
36,9,1670.16,380.675,175.68,398.65,45.533,-1,-1,-1
37,2,1615.16,352.675,175.68,398.65,70.38,-1,-1,-1
37,7,1349.068,489.195,73.864,167.61,65.47,-1,-1,-1
